title,option1,option2,option3,option4,answer,solution
다음 중 성적 이의 신청에 대한 설명으로 알맞지 않은 것은?,포탈에서 강의평가를 해야 성적 이의 신청을 할 수 있다,폭력예방 교육은 일년에 1회만 수료하면 된다,폭력예방 교육을 수료하지 않아도 성적이의 신청을 할 수 있다.,강의평가를 하지 않아도 성적 이의 신청 기간이 지나면 성적을 확인 할 수 있다.,3,폭력예방 교육을 수료한 학생만 성적을 확인하고 이의 신청을 할 수 있다.
학교 버스에 관한 설명으로 알맞지 않은 것은?,중앙대학교 버스는 중앙대학생만 탈 수 있다,상도역 매머드 앞에서 학교 버스를 탈 수 있다,중앙대학교 병원 버스와 학교 버스는 노선이 다르다.,CAU셔틀버스 앱으로 버스의 위치를 확인 할 수 있다.,1,중앙대학교와 중앙대학교 병원 버스는 누구나 탈 수 있고 무료이다.
수강신청 강의 여석의 종류에 대한 설명으로 알맞지 않은 것은?,자자 : 자과학생에 자학년인 학생이 속한다,자타: 자과학생이지만 타학년인 학생이 속한다,타부: 자과학생도 다전공생도 아닌 학생들이 속한다.,복연:복수전공생만 속한다.,4,복연: 다전공 이수하는 학생들을 위한 여석이다.
장바구니에 담은 과목을 수강신청하는 탭은?,수강신청->장바구니 목록,장바구니->장바구니 목록,장바구니->장바구니 시간표,개인 시간표,1,장바구니에 담은 과목을 수강신청 할 때엔 수강신청 탭에서 장바구니 목록에서 새로고침을 하지 않고 수강신청한다.
증명서에 대한 설명으로 알맞지 않은 것은?,"포탈에 인터넷 증명에서 재학증명서, 성적 증명서 등을 출력할 수 있다",204관 1층에서 증명서를 출력할 수 있다,102관 지하1층 우리 은행에서 재학 증명서를 출력할 수 있다.,인터넷 증명 보다 학교에서 출력하는 것이 더 저렴하다.,3,102관 지하1층 우리은행에서는 증명서를 출력할 수 없다.
재학생 교내 장학제도로 알맞지 않은 것은?,중앙자랑,가족,근로,일취월장,1,중앙 자랑이 아닌 중앙 사랑 장학금이다. 친가족이 2명 이상 본 대학교에 재학 또는 휴학하고 있는 경우 재학중인 1인에게 장학금을 지원하고 있다. 8분위 이내의 학생은 근로를 통해 장학금을 받을 수 있다.
출석체크에 대한 설명으로 알맞지 않은 것은?,스마트 학생증 (e-id)를 이용해 블루투스로 출석체크를 한다,학생증을 태그하여 수강신청한다,수업 중 아무때나 출석체크를 할 수 있다.,교수님께 직접 출석체크를 정중하게 요청한다.,3,수업 전 후 교수님이 지정해 놓은 시간동안만 출석체크를 할 수 있다.
다음 중 옳지 않은 것은?,교과목 이수 체계도는 학과 홈페이지를 참고한다,공학인증은 신경쓰지 않고 마음대로 수업을 신청해서 들어도 된다,학교 이메일로 로그인시 onedrive를 무료로 이용가능하다. ,학교 메일의 기간은 제한이 없다. ,2,공학인증 학과는 프로그램 내규와 교과목 이수 체계도에 맞게 수업을 들어야한다.
다음 중 에브리타임 앱에 대한 설명으로 알맞지 않은 것은?,과목의 강의평을 남기면 포인트를 얻을 수 있다,과목의 시험정보를 확인 할 수 있다,시간표 마법사 기능을 통해 여러 조합의 시간표를 만들 수 있다.,동아리 홍보글은 확인할 수 없다.,4,동아리 포함 각종 홍보물을 확인 할 수 있다.
상도역에서 학교 정문으로 가는 마을 버스가 아닌 것은?,동작 01,동작10,동작21,동작08,4,동작 08은 '중대 후문 입구' 정류장을 지나 노들로 간다.
다음 중 교시와 시간의 계산법으로 알맞은 것은?,교시+6=시간,교시+7=시간,교시+8=시간,교시+9=시간,3,서울캠은 1교시가 9시에 시작한다.
다음 중 강의 계획서에 대한 설명으로 알맞지 않은 것은?,교수님과 연락할 수 있는 정보를 얻을 수 있다,학습 평가 방법에서 성적 산출 시 시험과 과제 비율을 확인 할 수 있다.,선수 과목은 확인 할 수 없다.,강의 교재에 대한 정보를 확인할 수 있다.,3,권장하는 선수과목을 확인 할 수 있다.(필수가 아닌 경우도 있음)
다음 중 졸업 관련 성적 조회에 대한 설명으로 알맞지 않은 것은?,강의 마당 > 졸업관련성적조회 에서 확인 할 수 있다,졸업을 위한 이수학점과 이수학점내역을 확인 할 수 있다,학과 마다 졸업요건은 같기 때문에 이 페이지만 보고 확인하면 된다. ,"졸업 인증 내역(한자,영어 등)을 확인 할 수 있다. ",3,학과 별로 졸업 요건은 모두 다르다. 그러므로 학과에 나온 졸업요건을 확인하면서 졸업관련성적 조회란은 참고만 한다.
다음 중 성적 비율에 관한 설명으로 알맞지 않은 것은?,성적 산출은 교수님 재량이다,외국인 학생은 정해진 비율에 따라 평가한다,"상대평가는 A학점 이상은 35%, B학점이상 누계70%이내이다.","영어강의A 는 A학점이상 50% 이내, B학점 이상 누계90%이내 이다. ",2,외국인 학생은 비율에 상관없이 평가한다.
다음 중 102관에 없는 식당은?,북촌순두부,파리바게트,홍당무,맥도날드,2,원래 우리은행 오른쪽 자리에 파리바게트가 있었으나 사라졌다.(현재 브래드앤코)
도서관에서 동시에 대여할 수 있는 책의 권 수는?,5,10,15,20,3,학기 중 최대 대출 권수는 15권이다.
도서관 연체도서의 하루 당 연체료는?,50,100,150,200,2,도서대출 연체료는 하루 100원이다.
다음 중 셔틀버스(상도역/노량진역) 정류장이 아닌 곳은?,청룡연못,중앙대 후문,봅스트홀(207관),흑석역,4,셔틀버스는 중앙대 병원에서 회차한다 따라서 흑석역까지 가지 않는다
다음 중 졸업인정제 중 영어영역에 대한 설명으로 알맞은 것은?,전공과목 중 영어강의 수업 세 과목을 이수할 경우 면제된다,10분간 영어회화 시험을 통과해야 인정된다,수능 영어영역 1등급의 경우 면제된다,토익 360점 이상이 되면 충족된다,1,전공 영어강의 세 과목 이상 이수할 시 면제된다.
다음 중 졸업인정제 중 한자영역에 관한 설명으로 알맞지 않은 것은?,도서관에서 마법천자문을 대출하면 면제된다,상공회의소 5급을 따면 면제된다,한문 과목 한 수업을 이수할 경우 면제된다,한자권 국가에 여행을 다녀올 경우 면제된다.,3,한문 과목 하나 이상을 이수하거나 상공회의소 4급을 취득할 경우 면제된다.
다음 중 중앙도서관(서울)에 대한 설명으로 잘못된 것은?,1층 제 2 열람실은 학기 중 24시간 운영된다,2층 대출자료실은 연중무휴이다,시험기간에는 모든 열람실이 24시간 운영된다,도서관에는 옥상이 존재한다.,2,2층 대출자료실은 일요일에 운영하지 않는다.
다음 중 교내 식당(학식)이 존재하지 않는 곳은?,310관,308관,102관,104관,4,104관은 정문에서 보이는 붉은색 건물이다(자연과학대학 건물). 학식이 존재하지 않는다
교내 3D 프린터 이용에 대한 알맞은 설명은?,서라벌홀(203관) 2층 복사실에서 이용 가능하다,봅스트홀(207관) 지하 1층 MAKER SPACE에서 예약 후 이용 가능하다,모든 단과대 학생회실에서 이용 가능하다,학생자치공간에서 이용 가능하다.,2,봅스트홀(207관) 지하 1층 MAKER SPACE에서 예약 후 이용 가능하다
다음 중 대출자료실에 대한 설명으로 알맞지 않은 것은?,학술정보원 홈페이지에서 도서 예약이 가능하다,학술정보원 홈페이지에서 보존서고(고서) 도서 신청이 가능하다,키오스크를 통해 무인 대출/반납이 가능하다,대출자료실은 연중 무휴로 운영된다.,4,대출자료실은 일요일에는 운영하지 않는다.
다음 중 중앙도서관 3층 아고라존에 대한 설명으로 옳지 않은 것을 고르시오.,로봇이 만들어주는 무인카페가 존재한다,초대형 푸앙이 인형이 존재한다,24시간 운영된다,누구나 이용이 가능하다.,3,시험기간에는 24시간 운영하나 일반적으로 밤 11시까지 운영한다.
다음 중 310관 참슬기 식당 라면 메뉴에 대해 알맞은 것은?,야채라면이 존재한다,모든 메뉴의 가격은 2500원이다,일본식 라멘메뉴도 존재한다,포크로만 먹을 수 있다. ,1,"기본 라면의 경우 1500원, 치즈나 만두, 야채라면 등은 1800원이다."
다음 중 203관의 다른 이름은?,서라벌홀,봅스트홀,중앙도서관,수림과학관,1,"203관은 인문대학,사회과학대학,교육대학 학생들이 이용하는 건물로 서라벌홀이라고 불립니다"
310관의 층 수로 알맞은 것은?,"지하 4층, 지상 10층","지하 6층, 지상 10층","지하 4층, 지하 12층","지하 6층, 지상 12층",4,"310관은 지하 6층, 지상 12층까지 있는 국내 대학 건물 중 가장 큰 건물입니다"
중앙대학교 이메일로 제공받을수 있는 서비스로 내용이 알맞지 않은 것은?,AWS Educate에서 연간 일정 금액의 크레딧을 제공받을 수 있다,Cinema 4D 학생용 라이선스를 무료로 이용할 수 있다.,Jetbrains 제품군을 무료로 이용할 수 있다.,Prezi Edu Plus 를 할인받을 수 있다.,2,Cinema 4D는 해당되지 않습니다.
중앙대학교 교가 1절의 첫 소절로 알맞은 것은?,이상을 우러르는 우리의 기상,남산이 영을 넘어 바라보이고,가슴마다 성스러운 이념을 품고,높은 산 깊은 골 적막한 산하,2,남산이 영을 넘어 바라보이고
중앙대 근처 음식점으로 알맞지 않은 것은?,양셰프'는 치킨스테이크를 파는 곳이다,라이스 앤 포테이토'는 김치볶음밥을 파는 곳이다,흑수돈'은 보쌈족발을 파는 곳이다,학교종이 땡땡땡'은 순두부찌개를 파는 곳이다,3,흑수돈은 돈까스 음식점입니다
장바구니 이관에 대한 내용으로 알맞지 않은 것은?,자동이관이란 정원보다 장바구니 인원이 적은 경우 자동으로 수강신청이 되는 시스템을 의미한다.,추첨이관이란 정원보다 장바구니 인원이 많은 경우 30% 인원에 한하여 자동으로 수강신청이 되는 시스템을 의미한다.,자동이관된 과목은 별도로 수강신청을 할 필요가 없다,100명이 정원인 강의에서 120명이 장바구니에 담았다면 추첨이관 인원은 40명이다.,4,4번의 경우 추첨이관 인원은 30명이다
중앙대학교 관련 어플에 대한 내용 중 알맞지 않은 것은?,중앙대학교 e-ID는 모바일 학생증으로 활용할 수 있다,중앙대학교  e-출석부'에서 출석인정을 받을 수 있다.,중앙대학교 학술정보원'에서 희망자료 구입신청을 할 수 있다.,중앙대학교 좌석배정' 에서 열람실 자리를 예약할 수 있다.,2,중앙대학교 e-출석부는 교/강사용 앱입니다
중앙대학교 관련 어플에 대한 내용 중 알맞지 않은 것은?,중앙더하기'에서 중앙대학교 포탈에 접속할 수 있다,중앙대학교 학술정보원'에서 전자책 서비스를 이용할 수 있다.,중앙대학교 좌석 배정'에서 좌석 미반납 제재를 해제할 수 있다,CAU 셔틀버스'에서 버스 위치를 확인할 수 있다.,3,미반납 제재는 본인이 해지할 수 없습니다.
다음 중 중앙대 정문 근처에 없는 음식점은?,기꾸참치,일이삼,백채 김치찌개,항아리 보쌈족발,1,기꾸참치는 후문 쪽에 있습니다
다음 중 카우버거에서 가장 가격이 싼 제품은?,불고기버거,치즈버거,새우버거,치킨버거,3,새우버거는 1100원으로 가장 저렴합니다.
중앙대학교 총장님 성함은?,박상규 총장님,조영금 총장님,김진성 총장님,김승태 총장님,1,나머지 분들은 교내 교수님들입니다
푸앙이에 대한 설명으로 알맞지 않은 것은?,청룡상 타임캡슐 속에 푸앙이의 알이 들어있었다,가끔 인스타그램에 셀카를 올린다,중앙대의 수호신이며 한강에 사는 청룡의 후예이다.,청룡상이 세워진지 50년인 2018년에 세상 밖으로 나왔다.,4,푸앙이는 2018년에 깨어나 2019년에 세상에 나왔습니다
중앙대학교 휴학에 대한 설명으로 알맞지 않은 것은?,휴학에는 일반휴학과 특별휴학이 있다,"군휴학은 특별 휴학이며, 일반 휴학 기간에 영향을 미치지 않는다",일반휴학은 통산 6학기동안 휴학이 가능하다,창업의 경우 일반휴학을 사용해야한다,4,창업은 특별휴학에 포함됩니다
중앙대학교 휴학에 대한 설명으로 알맞지 않은 것은?,일반휴학으로 한번에 6학기를 쉬는건 불가능하다,신입생의 경우 1학년 1학기에 휴학은 절대 불가능하다,질병으로 휴학하는 경우 일반휴학을 사용해야한다,휴학예정자는 등록금을 납부하지 않아도 된다,2,신입생의 경우라도 입대 혹은 질병에 의한 사유라면 휴학할 수 있습니다
다음 중 심장제세동기가 있는 곳으로 가장 알맞은 것은?,102관 1층,"310관 지하 3,4층",303관 지하 1층,위 선택지에 모두 존재한다,4,평소에 위치를 파악해놓으면 좋을것 같아요
교내 편의시설에 대한 설명으로 알맞지 않은 것은?,R&D센터에는 모닝글로리가 있다,309관에는 309쌀국수 음식점이 있다,310관 지하 4층에는 '파머스'라는 꽃집이 있다,303관 6층에는 카페가 있다,2,쌀국수 음식점은 310관에 있습니다
